,State,6months-4 years average,5-12 years average,13-17 years average,18-49 years average,50-64 years average,65 years or more average
1,Alabama,66.0625,56.3625,41.9125,30.2125,44.6625,65.9375
2,Alaska,57.5625,49.025,35.662499999999994,32.2125,37.900000000000006,53.925
3,Arizona,63.375,52.95,34.5,26.5375,39.6375,60.900000000000006
4,Arkansas,64.2125,69.375,52.625,31.025,44.287499999999994,62.925
5,California,69.25,60.324999999999996,45.0125,29.599999999999998,41.885714285714286,62.82857142857143
6,Colorado,73.5625,60.625,45.912499999999994,35.6375,47.7,69.05000000000001
7,Connecticut,84.2375,69.675,49.2625,34.650000000000006,46.912499999999994,66.9625
8,Delaware,74.9875,65.6,50.05,34.575,48.2125,69.775
9,District of Columbia,80.0625,68.2375,59.0375,37.05714285714286,45.88571428571429,61.271428571428565
10,Florida,59.2125,48.3,35.3625,22.6375,34.8625,61.3875
11,Georgia,63.2875,53.3375,38.212500000000006,28.7375,41.2375,62.675
12,Hawaii,72.23750000000001,72.7875,55.8625,36.587500000000006,46.625,67.875
13,Idaho,61.724999999999994,45.3125,32.6375,26.737499999999997,37.7875,58.2875
14,Illinois,68.6375,53.275,39.175,28.325,41.4625,61.55
15,Indiana,62.075,54.3125,36.474999999999994,28.4125,42.4875,61.5625
16,Iowa,69.9875,57.1375,40.4875,37.7,51.25,72.2875
17,Kansas,68.0,53.8125,36.5375,32.7,44.75,65.1375
18,Kentucky,65.47500000000001,52.5625,41.400000000000006,31.849999999999998,47.8875,69.2625
19,Louisiana,65.9375,56.8125,46.6875,30.1,43.6125,63.025
20,Maine,69.41250000000001,63.025,50.9125,32.3875,46.8375,65.80000000000001
21,Maryland,76.69999999999999,70.3,51.875,37.6875,48.5125,68.17500000000001
22,Massachusetts,82.75,73.425,61.2375,39.2875,50.575,65.15
23,Michigan,62.1125,54.5,40.2625,28.275,41.900000000000006,61.800000000000004
24,Minnesota,71.7875,63.0375,45.625,38.699999999999996,49.7375,69.0875
25,Mississippi,56.8625,49.3875,37.925000000000004,29.099999999999998,41.142857142857146,65.84285714285714
26,Missouri,63.575,55.225,38.3375,32.625,45.2,70.1125
27,Montana,62.55,47.162499999999994,33.0625,28.637500000000003,41.825,63.65
28,Nebraska,73.0625,61.824999999999996,44.3375,36.949999999999996,49.7625,67.8375
29,Nevada,59.425000000000004,51.337500000000006,35.9375,24.6625,35.6125,57.8125
30,New Hampshire,72.0125,66.5125,48.7375,34.6625,46.16250000000001,64.77499999999999
31,New Jersey,82.6625,69.55000000000001,45.85,29.725,41.95,64.875
32,New Mexico,74.05,66.6875,52.0875,32.9,44.4125,61.4875
33,New York,72.0375,65.675,48.837500000000006,31.65,45.3875,64.5625
34,North Carolina,69.32499999999999,61.1875,44.9375,35.5625,50.112500000000004,72.125
35,North Dakota,73.275,62.7375,47.0625,35.625,45.8625,64.35
36,Ohio,66.525,54.2125,41.1625,31.35,45.150000000000006,63.85
37,Oklahoma,63.9875,55.262499999999996,39.9625,32.85,48.587500000000006,70.27499999999999
38,Oregon,61.525000000000006,53.199999999999996,39.4125,28.1375,40.787499999999994,58.762499999999996
39,Pennsylvania,75.35,63.2125,46.875,32.6875,45.375,66.5375
40,Rhode Island,85.575,79.725,66.975,41.125,51.0875,66.4625
41,South Carolina,66.35,59.075,39.25,30.5,46.675,68.8
42,South Dakota,73.6875,65.7625,54.474999999999994,44.2375,52.375,71.45
43,Tennessee,69.76249999999999,59.21249999999999,47.1375,32.9875,47.05,67.3
44,Texas,69.1625,60.0125,43.925,30.25,43.6,64.5625
45,Utah,63.925,53.325,35.2125,33.5375,44.8125,60.737500000000004
46,Vermont,72.4,60.2,45.875,33.824999999999996,48.0125,67.475
47,Virginia,73.80000000000001,62.1875,45.2625,38.0,49.599999999999994,67.8
48,Washington,70.4,57.037499999999994,42.35,34.6875,47.9375,66.9375
49,West Virginia,63.7625,56.05,43.175,34.325,52.462500000000006,72.35
50,Wisconsin,69.9375,59.325,42.7,30.7375,38.875,55.8
51,Wyoming,57.650000000000006,45.525,32.412499999999994,27.275000000000002,39.087500000000006,60.1375
